Date,Strike price,Close,Expiration
2015-03-03,9200,209.0,23
2015-03-04,9200,277.0,22
2015-03-05,9200,242.1,21
2015-03-09,9200,433.0,17
2015-03-10,9200,435.0,16
2015-03-11,9200,445.1,15
2015-03-12,9200,392.15,14
2015-03-13,9200,508.45,13
2015-03-16,9200,521.75,10
2015-03-17,9200,457.05,9
2015-03-18,9200,496.25,8
2015-03-19,9200,565.0,7
2015-03-20,9200,585.0,6
2015-03-23,9200,626.5,3
2015-03-24,9200,620.0,2
2015-03-25,9200,670.05,1
2015-03-26,9200,846.3,0
2015-02-02,9300,502.0,52
2015-02-04,9300,540.0,50
2015-02-05,9300,510.0,49
2015-02-06,9300,600.0,48
2015-02-10,9300,640.0,44
2015-02-13,9300,490.0,41
2015-02-16,9300,440.9,38
2015-02-18,9300,426.5,36
2015-02-19,9300,393.05,35
2015-02-20,9300,450.3,34
2015-02-23,9300,537.55,31
2015-02-24,9300,495.0,30
2015-02-25,9300,508.7,29
2015-02-26,9300,579.8,28
2015-02-27,9300,436.25,27
2015-02-28,9300,350.0,26
2015-03-02,9300,322.0,24
2015-03-03,9300,273.85,23
2015-03-04,9300,356.75,22
2015-03-05,9300,321.95,21
2015-03-09,9300,524.45,17
2015-03-10,9300,526.75,16
2015-03-11,9300,534.2,15
2015-03-12,9300,486.2,14
2015-03-13,9300,604.9,13
2015-03-16,9300,623.25,10
2015-03-17,9300,553.25,9
2015-03-18,9300,588.65,8
2015-03-19,9300,662.1,7
2015-03-20,9300,688.05,6
2015-03-23,9300,727.0,3
2015-03-24,9300,714.15,2
2015-03-25,9300,774.35,1
2015-03-26,9300,959.25,0
2015-02-02,9400,580.1,52
2015-02-13,9400,548.0,41
2015-02-16,9400,520.0,38
2015-02-18,9400,510.0,36
2015-02-19,9400,466.0,35
2015-02-20,9400,520.0,34
2015-02-23,9400,590.0,31
2015-02-24,9400,610.0,30
2015-02-25,9400,596.95,29
2015-02-26,9400,650.0,28
2015-02-27,9400,519.15,27
2015-02-28,9400,427.35,26
2015-03-02,9400,409.0,24
2015-03-03,9400,356.2,23
2015-03-04,9400,445.1,22
2015-03-05,9400,417.25,21
2015-03-09,9400,619.7,17
2015-03-10,9400,622.95,16
2015-03-11,9400,638.55,15
2015-03-12,9400,580.0,14
2015-03-13,9400,700.3,13
2015-03-16,9400,720.0,10
2015-03-17,9400,656.3,9
2015-03-18,9400,692.55,8
2015-03-19,9400,771.0,7
2015-03-20,9400,805.0,6
2015-03-23,9400,826.9,3
2015-03-24,9400,820.0,2
2015-03-25,9400,876.45,1
2015-03-26,9400,1059.6,0
2015-01-20,9500,723.0,65
2015-01-21,9500,670.0,64
2015-01-22,9500,645.0,63
2015-01-23,9500,597.5,62
2015-01-27,9500,531.0,58
2015-01-28,9500,535.65,57
2015-01-29,9500,530.0,56
2015-01-30,9500,615.0,55
2015-02-02,9500,630.0,52
2015-02-03,9500,668.5,51
2015-02-04,9500,700.85,50
2015-02-05,9500,743.25,49
2015-02-06,9500,738.6,48
2015-02-09,9500,872.55,45
2015-02-10,9500,835.0,44
2015-02-11,9500,765.35,43
2015-02-12,9500,688.0,42
2015-02-13,9500,637.0,41
2015-02-16,9500,619.05,38
2015-02-18,9500,590.0,36
2015-02-19,9500,542.95,35
2015-02-20,9500,610.3,34
2015-02-23,9500,700.45,31
2015-02-24,9500,676.65,30
2015-02-25,9500,681.55,29
2015-02-26,9500,755.0,28
2015-02-27,9500,603.1,27
2015-02-28,9500,515.05,26
2015-03-02,9500,490.0,24
2015-03-03,9500,444.4,23
2015-03-04,9500,542.0,22
2015-03-05,9500,506.05,21
2015-03-09,9500,722.0,17
2015-03-10,9500,720.0,16
2015-03-11,9500,734.45,15
2015-03-12,9500,682.0,14
2015-03-13,9500,803.75,13
2015-03-16,9500,824.0,10
2015-03-17,9500,750.0,9
2015-03-18,9500,794.0,8
2015-03-19,9500,864.65,7
2015-03-20,9500,878.75,6
2015-03-23,9500,923.4,3
2015-03-24,9500,915.0,2
2015-03-25,9500,967.15,1
2015-03-26,9500,1158.0,0
2015-02-27,7900,18.9,62
2015-02-28,7900,11.45,61
2015-03-02,7900,8.6,59
