Date,Strike price,Close,Expiration
2017-02-06, 8600,238.9,17
2017-02-07, 8600,215.0,16
2017-02-08, 8600,221.65,15
2017-02-09, 8600,222.5,14
2017-02-10, 8600,219.4,13
2017-02-13, 8600,223.85,10
2017-02-14, 8600,217.0,9
2017-02-15, 8600,165.0,8
2017-02-16, 8600,193.2,7
2017-02-17, 8600,228.0,6
2017-02-20, 8600,275.0,3
2017-02-21, 8600,307.25,2
2017-02-22, 8600,316.25,1
2017-02-23, 8600,336.55,0
2017-01-27, 8900,48.25,27
2017-01-30, 8900,43.85,24
2017-01-31, 8900,28.5,23
2017-02-01, 8900,40.0,22
2017-02-02, 8900,31.2,21
2017-02-03, 8900,35.0,20
2017-02-06, 8900,48.65,17
2017-02-07, 8900,40.95,16
2017-02-08, 8900,40.6,15
2017-02-09, 8900,34.7,14
2017-02-10, 8900,30.0,13
2017-02-13, 8900,29.0,10
2017-02-14, 8900,24.2,9
2017-02-15, 8900,13.0,8
2017-02-16, 8900,14.1,7
2017-02-17, 8900,19.05,6
2017-02-20, 8900,30.75,3
2017-02-21, 8900,38.5,2
2017-02-22, 8900,39.95,1
2017-02-23, 8900,36.0,0
2017-01-27, 8400,320.0,27
2017-01-30, 8400,314.4,24
2017-01-31, 8400,257.0,23
2017-02-01, 8400,353.95,22
2017-02-02, 8400,349.55,21
2017-02-03, 8400,364.8,20
2017-02-06, 8400,419.0,17
2017-02-07, 8400,398.95,16
2017-02-08, 8400,398.45,15
2017-02-09, 8400,407.1,14
2017-02-10, 8400,411.45,13
2017-02-13, 8400,416.0,10
2017-02-14, 8400,406.85,9
2017-02-15, 8400,349.2,8
2017-02-16, 8400,386.0,7
2017-02-17, 8400,425.5,6
2017-02-20, 8400,474.95,3
2017-02-21, 8400,504.0,2
2017-02-22, 8400,518.35,1
2017-02-23, 8400,540.8,0
2017-01-27, 8950,38.0,27
2017-01-30, 8950,32.55,24
2017-01-31, 8950,21.1,23
2017-02-01, 8950,28.7,22
2017-02-02, 8950,21.15,21
2017-02-03, 8950,23.9,20
2017-02-06, 8950,33.65,17
2017-02-07, 8950,27.45,16
2017-02-08, 8950,26.0,15
2017-02-09, 8950,21.9,14
2017-02-10, 8950,17.0,13
2017-02-13, 8950,16.3,10
2017-02-14, 8950,13.5,9
2017-02-15, 8950,7.5,8
2017-02-16, 8950,6.85,7
2017-02-17, 8950,9.8,6
2017-02-20, 8950,14.2,3
2017-02-21, 8950,16.4,2
2017-02-22, 8950,16.75,1
2017-02-23, 8950,0.05,0
2017-01-27, 8550,211.8,27
2017-01-30, 8550,209.6,24
2017-01-31, 8550,156.75,23
2017-02-01, 8550,229.6,22
2017-02-02, 8550,219.15,21
2017-02-03, 8550,233.0,20
2017-02-06, 8550,278.3,17
2017-02-07, 8550,255.35,16
2017-02-08, 8550,263.35,15
2017-02-09, 8550,265.0,14
2017-02-10, 8550,264.5,13
2017-02-13, 8550,264.85,10
2017-02-14, 8550,264.75,9
2017-02-15, 8550,200.65,8
2017-02-16, 8550,238.75,7
2017-02-17, 8550,276.0,6
2017-02-20, 8550,334.95,3
2017-02-21, 8550,352.5,2
2017-02-22, 8550,368.05,1
2017-02-23, 8550,391.0,0
2017-01-27, 8700,124.2,27
2017-01-30, 8700,118.8,24
2017-01-31, 8700,84.95,23
2017-02-01, 8700,125.45,22
2017-02-02, 8700,114.0,21
2017-02-03, 8700,121.5,20
2017-02-06, 8700,157.85,17
2017-02-07, 8700,139.1,16
2017-02-08, 8700,143.2,15
2017-02-09, 8700,141.0,14
2017-02-10, 8700,138.0,13
2017-02-13, 8700,140.0,10
2017-02-14, 8700,132.0,9
2017-02-15, 8700,92.0,8
2017-02-16, 8700,109.05,7
2017-02-17, 8700,136.0,6
2017-02-20, 8700,178.35,3
2017-02-21, 8700,205.35,2
2017-02-22, 8700,216.95,1
2017-02-23, 8700,236.0,0
2017-01-27, 9000,28.0,27
2017-01-30, 9000,24.0,24
2017-01-31, 9000,15.5,23
2017-02-01, 9000,20.15,22
2017-02-02, 9000,14.5,21
2017-02-03, 9000,16.0,20
2017-02-06, 9000,22.15,17
2017-02-07, 9000,18.05,16
2017-02-08, 9000,17.0,15
2017-02-09, 9000,13.0,14
2017-02-10, 9000,10.5,13
2017-02-13, 9000,10.0,10
2017-02-14, 9000,8.0,9
2017-02-15, 9000,4.75,8
2017-02-16, 9000,3.9,7
2017-02-17, 9000,5.25,6
2017-02-20, 9000,6.85,3
2017-02-21, 9000,6.3,2
2017-02-22, 9000,5.55,1
2017-02-23, 9000,0.05,0
2017-01-27, 8750,101.0,27
2017-01-30, 8750,95.35,24
2017-01-31, 8750,67.0,23
2017-02-01, 8750,97.95,22
2017-02-02, 8750,84.65,21
2017-02-03, 8750,92.5,20
2017-02-06, 8750,124.0,17
2017-02-07, 8750,107.45,16
2017-02-08, 8750,110.0,15
2017-02-09, 8750,107.0,14
2017-02-10, 8750,101.9,13
2017-02-13, 8750,103.0,10
2017-02-14, 8750,96.75,9
2017-02-15, 8750,60.0,8
2017-02-16, 8750,74.3,7
2017-02-17, 8750,95.65,6
2017-02-20, 8750,132.8,3
2017-02-21, 8750,156.65,2
2017-02-22, 8750,165.05,1
2017-02-23, 8750,192.45,0
2017-01-27, 8450,277.75,27
2017-01-30, 8450,275.55,24
2017-01-31, 8450,216.5,23
2017-02-01, 8450,306.3,22
2017-02-02, 8450,305.0,21
2017-02-03, 8450,336.2,20
2017-02-06, 8450,369.9,17
2017-02-07, 8450,351.4,16
2017-02-08, 8450,348.6,15
2017-02-09, 8450,335.2,14
2017-02-10, 8450,365.95,13
2017-02-13, 8450,362.0,10
2017-02-14, 8450,358.4,9
2017-02-15, 8450,292.15,8
2017-02-16, 8450,336.85,7
2017-02-17, 8450,374.45,6
2017-02-20, 8450,424.2,3
2017-02-21, 8450,475.0,2
2017-02-22, 8450,472.0,1
2017-02-23, 8450,491.3,0
2017-01-27, 8650,149.0,27
2017-01-30, 8650,144.0,24
2017-01-31, 8650,105.0,23
2017-02-01, 8650,155.35,22
2017-02-02, 8650,145.85,21
2017-02-03, 8650,156.4,20
2017-02-06, 8650,198.5,17
2017-02-07, 8650,177.9,16
2017-02-08, 8650,183.0,15
2017-02-09, 8650,177.3,14
2017-02-10, 8650,175.15,13
2017-02-13, 8650,180.0,10
2017-02-14, 8650,165.65,9
2017-02-15, 8650,121.55,8
2017-02-16, 8650,149.25,7
2017-02-17, 8650,181.3,6
2017-02-20, 8650,223.2,3
