Date,Strike price,Close,Expiration
2018-04-24,10650,20.55,2
2018-04-25,10650,5.15,1
2018-04-26,10650,0.05,0
2018-03-13,10700,74.9,44
2018-03-14,10700,72.3,43
2018-03-15,10700,58.9,42
2018-03-16,10700,36.25,41
2018-03-19,10700,24.15,38
2018-03-20,10700,23.95,37
2018-03-21,10700,23.6,36
2018-03-22,10700,18.55,35
2018-03-23,10700,11.3,34
2018-03-26,10700,13.55,31
2018-03-27,10700,15.9,30
2018-03-28,10700,8.35,29
2018-04-02,10700,12.5,24
2018-04-03,10700,12.6,23
2018-04-04,10700,7.25,22
2018-04-05,10700,15.05,21
2018-04-06,10700,13.8,20
2018-04-09,10700,16.15,17
2018-04-10,10700,15.9,16
2018-04-11,10700,15.0,15
2018-04-12,10700,17.5,14
2018-04-13,10700,16.4,13
2018-04-16,10700,20.3,10
2018-04-17,10700,18.0,9
2018-04-18,10700,12.65,8
2018-04-19,10700,14.05,7
2018-04-20,10700,9.0,6
2018-04-23,10700,6.6,3
2018-04-24,10700,8.2,2
2018-04-25,10700,1.9,1
2018-04-26,10700,0.05,0
2018-03-16,10750,30.0,41
2018-03-19,10750,30.0,38
2018-03-22,10750,15.0,35
2018-03-23,10750,11.0,34
2018-03-26,10750,10.5,31
2018-03-27,10750,14.0,30
2018-03-28,10750,7.05,29
2018-04-02,10750,8.55,24
2018-04-03,10750,8.45,23
2018-04-04,10750,5.55,22
2018-04-05,10750,9.95,21
2018-04-06,10750,9.65,20
2018-04-09,10750,10.1,17
2018-04-10,10750,10.75,16
2018-04-11,10750,9.9,15
2018-04-12,10750,10.8,14
2018-04-13,10750,10.2,13
2018-04-16,10750,11.85,10
2018-04-17,10750,10.15,9
2018-04-18,10750,6.8,8
2018-04-19,10750,6.8,7
2018-04-20,10750,3.85,6
2018-04-23,10750,2.7,3
2018-04-24,10750,3.05,2
2018-04-25,10750,0.7,1
2018-04-26,10750,0.05,0
2018-03-13,10800,48.4,44
2018-03-14,10800,45.75,43
2018-03-15,10800,36.0,42
2018-03-16,10800,21.55,41
2018-03-19,10800,15.05,38
2018-03-20,10800,14.8,37
2018-03-21,10800,13.55,36
2018-03-22,10800,10.35,35
2018-03-23,10800,7.35,34
2018-03-26,10800,7.85,31
2018-03-27,10800,9.45,30
2018-03-28,10800,5.15,29
2018-04-02,10800,6.2,24
2018-04-03,10800,6.1,23
2018-04-04,10800,4.15,22
2018-04-05,10800,7.0,21
2018-04-06,10800,6.65,20
2018-04-09,10800,7.3,17
2018-04-10,10800,7.35,16
2018-04-11,10800,6.8,15
2018-04-12,10800,7.15,14
2018-04-13,10800,6.7,13
2018-04-16,10800,7.2,10
2018-04-17,10800,6.1,9
2018-04-18,10800,4.2,8
2018-04-19,10800,3.55,7
2018-04-20,10800,2.0,6
2018-04-23,10800,1.45,3
2018-04-24,10800,1.3,2
2018-04-25,10800,0.55,1
2018-04-26,10800,0.05,0
2018-03-13,10850,35.0,44
2018-03-14,10850,38.0,43
2018-03-23,10850,5.15,34
2018-03-26,10850,7.75,31
2018-03-27,10850,8.15,30
2018-03-28,10850,3.95,29
2018-04-02,10850,4.95,24
2018-04-03,10850,4.55,23
2018-04-04,10850,3.55,22
2018-04-05,10850,4.55,21
2018-04-06,10850,4.4,20
2018-04-09,10850,4.95,17
2018-04-10,10850,5.05,16
2018-04-11,10850,4.6,15
2018-04-12,10850,4.8,14
2018-04-13,10850,4.3,13
2018-04-16,10850,4.35,10
2018-04-17,10850,3.6,9
2018-04-18,10850,2.45,8
2018-04-19,10850,1.85,7
2018-04-20,10850,1.1,6
2018-04-23,10850,0.75,3
2018-04-24,10850,0.85,2
2018-04-25,10850,0.45,1
2018-04-26,10850,0.05,0
2018-03-13,10900,30.5,44
2018-03-14,10900,28.1,43
2018-03-15,10900,21.75,42
2018-03-16,10900,13.95,41
2018-03-19,10900,10.5,38
2018-03-20,10900,9.9,37
2018-03-21,10900,8.1,36
2018-03-22,10900,5.9,35
2018-03-23,10900,5.2,34
2018-03-26,10900,4.5,31
2018-03-27,10900,5.65,30
2018-03-28,10900,3.65,29
2018-04-02,10900,3.75,24
2018-04-03,10900,3.45,23
2018-04-04,10900,2.6,22
2018-04-05,10900,3.55,21
2018-04-06,10900,3.5,20
2018-04-09,10900,3.65,17
2018-04-10,10900,3.9,16
2018-04-11,10900,3.65,15
2018-04-12,10900,3.3,14
2018-04-13,10900,3.05,13
2018-04-16,10900,2.7,10
2018-04-17,10900,2.3,9
2018-04-18,10900,1.9,8
2018-04-19,10900,1.15,7
2018-04-20,10900,0.8,6
2018-04-23,10900,0.55,3
2018-04-24,10900,0.65,2
2018-04-25,10900,0.4,1
2018-04-26,10900,0.05,0
2018-03-26,10950,4.0,31
2018-03-28,10950,2.65,29
2018-04-02,10950,3.35,24
2018-04-04,10950,2.6,22
2018-04-05,10950,3.25,21
2018-04-06,10950,3.6,20
2018-04-09,10950,3.35,17
2018-04-10,10950,3.4,16
2018-04-11,10950,3.1,15
2018-04-12,10950,2.75,14
2018-04-13,10950,2.7,13
2018-04-16,10950,2.05,10
2018-04-17,10950,1.85,9
2018-04-18,10950,1.55,8
2018-04-19,10950,1.1,7
2018-04-20,10950,0.85,6
2018-04-23,10950,0.35,3
2018-04-24,10950,0.6,2
2018-04-25,10950,0.15,1
2018-04-26,10950,0.05,0
2018-03-13,11000,19.85,44
2018-03-14,11000,17.15,43
2018-03-15,11000,14.1,42
2018-03-16,11000,10.15,41
2018-03-19,11000,8.15,38
2018-03-20,11000,7.75,37
2018-03-21,11000,6.35,36
2018-03-22,11000,4.85,35
2018-03-23,11000,4.5,34
2018-03-26,11000,3.65,31
2018-03-27,11000,5.1,30
2018-03-28,11000,3.0,29
2018-04-02,11000,3.2,24
2018-04-03,11000,2.95,23
2018-04-04,11000,2.3,22
2018-04-05,11000,2.7,21
2018-04-06,11000,2.5,20
2018-04-09,11000,2.55,17
2018-04-10,11000,2.5,16
2018-04-11,11000,2.4,15
2018-04-12,11000,2.1,14
2018-04-13,11000,1.95,13
2018-04-16,11000,1.75,10
2018-04-17,11000,1.55,9
2018-04-18,11000,1.3,8
2018-04-19,11000,0.95,7
2018-04-20,11000,0.7,6
2018-04-23,11000,0.55,3
2018-04-24,11000,0.55,2
2018-04-25,11000,0.35,1
2018-04-26,11000,0.05,0
2018-07-17,10700,403.05,44
